	Number of genomes	Effect size	Replicate	Rank of causal gene
0	100	0.5	0	
1	100	0.5	1	9.0
2	100	0.5	10	
3	100	0.5	11	
4	100	0.5	12	
5	100	0.5	13	96.0
6	100	0.5	14	
7	100	0.5	15	
8	100	0.5	16	
9	100	0.5	17	18.0
10	100	0.5	18	
11	100	0.5	19	
12	100	0.5	2	
13	100	0.5	3	
14	100	0.5	4	
15	100	0.5	5	
16	100	0.5	6	5.0
17	100	0.5	7	48.0
18	100	0.5	8	34.0
19	100	0.5	9	108.0
20	100	0.75	0	92.0
21	100	0.75	1	1.0
22	100	0.75	10	8.0
23	100	0.75	11	
24	100	0.75	12	
25	100	0.75	13	5.0
26	100	0.75	14	
27	100	0.75	15	161.0
28	100	0.75	16	
29	100	0.75	17	1.0
30	100	0.75	18	
31	100	0.75	19	
32	100	0.75	2	68.0
33	100	0.75	3	26.0
34	100	0.75	4	289.0
35	100	0.75	5	1.0
36	100	0.75	6	1.0
37	100	0.75	7	6.0
38	100	0.75	8	1.0
39	100	0.75	9	112.0
40	100	1.0	0	1.0
41	100	1.0	1	1.0
42	100	1.0	10	41.0
43	100	1.0	11	38.0
44	100	1.0	12	1.0
45	100	1.0	13	43.0
46	100	1.0	14	3.0
47	100	1.0	15	3.0
48	100	1.0	16	1.0
49	100	1.0	17	1.0
50	100	1.0	18	164.0
51	100	1.0	19	2.0
52	100	1.0	2	2.0
53	100	1.0	3	65.0
54	100	1.0	4	1.0
55	100	1.0	5	
56	100	1.0	6	1.0
57	100	1.0	7	1.0
58	100	1.0	8	3.0
59	100	1.0	9	4.0
60	100	1.5	0	1.0
61	100	1.5	1	1.0
62	100	1.5	10	25.0
63	100	1.5	11	1.0
64	100	1.5	12	1.0
65	100	1.5	13	1.0
66	100	1.5	14	1.0
67	100	1.5	15	1.0
68	100	1.5	16	1.0
69	100	1.5	17	1.0
70	100	1.5	18	2.0
71	100	1.5	19	1.0
72	100	1.5	2	1.0
73	100	1.5	3	1.0
74	100	1.5	4	1.0
75	100	1.5	5	1.0
76	100	1.5	6	1.0
77	100	1.5	7	1.0
78	100	1.5	8	1.0
79	100	1.5	9	1.0
80	100	2.5	0	1.0
81	100	2.5	1	1.0
82	100	2.5	10	1.0
83	100	2.5	11	1.0
84	100	2.5	12	1.0
85	100	2.5	13	1.0
86	100	2.5	14	1.0
87	100	2.5	15	1.0
88	100	2.5	16	1.0
89	100	2.5	17	1.0
90	100	2.5	18	1.0
91	100	2.5	19	1.0
92	100	2.5	2	1.0
93	100	2.5	3	1.0
94	100	2.5	4	1.0
95	100	2.5	5	1.0
96	100	2.5	6	1.0
97	100	2.5	7	1.0
98	100	2.5	8	1.0
99	100	2.5	9	1.0
100	100	2.0	0	1.0
101	100	2.0	1	1.0
102	100	2.0	10	1.0
103	100	2.0	11	1.0
104	100	2.0	12	1.0
105	100	2.0	13	1.0
106	100	2.0	14	1.0
107	100	2.0	15	1.0
108	100	2.0	16	1.0
109	100	2.0	17	1.0
110	100	2.0	18	1.0
111	100	2.0	19	1.0
112	100	2.0	2	1.0
113	100	2.0	3	1.0
114	100	2.0	4	1.0
115	100	2.0	5	1.0
116	100	2.0	6	1.0
117	100	2.0	7	1.0
118	100	2.0	8	1.0
119	100	2.0	9	1.0
120	100	3.0	0	1.0
121	100	3.0	1	1.0
122	100	3.0	10	1.0
123	100	3.0	11	1.0
124	100	3.0	12	1.0
125	100	3.0	13	1.0
126	100	3.0	14	1.0
127	100	3.0	15	1.0
128	100	3.0	16	1.0
129	100	3.0	17	1.0
130	100	3.0	18	1.0
131	100	3.0	19	1.0
132	100	3.0	2	1.0
133	100	3.0	3	1.0
134	100	3.0	4	1.0
135	100	3.0	5	1.0
136	100	3.0	6	1.0
137	100	3.0	7	1.0
138	100	3.0	8	1.0
139	100	3.0	9	1.0
140	150	0.5	0	2.0
141	150	0.5	1	76.0
142	150	0.5	10	
143	150	0.5	11	74.0
144	150	0.5	12	101.0
145	150	0.5	13	49.0
146	150	0.5	14	77.0
147	150	0.5	15	1.0
148	150	0.5	16	99.0
149	150	0.5	17	2.0
150	150	0.5	18	
151	150	0.5	19	6.0
152	150	0.5	2	55.0
153	150	0.5	3	37.0
154	150	0.5	4	1.0
155	150	0.5	5	
156	150	0.5	6	113.0
157	150	0.5	7	12.0
158	150	0.5	8	
159	150	0.5	9	109.0
160	150	0.75	0	1.0
161	150	0.75	1	1.0
162	150	0.75	10	
163	150	0.75	11	31.0
164	150	0.75	12	11.0
165	150	0.75	13	21.0
166	150	0.75	14	5.0
167	150	0.75	15	1.0
168	150	0.75	16	1.0
169	150	0.75	17	1.0
170	150	0.75	18	100.0
171	150	0.75	19	1.0
172	150	0.75	2	1.0
173	150	0.75	3	2.0
174	150	0.75	4	1.0
175	150	0.75	5	135.0
176	150	0.75	6	9.0
177	150	0.75	7	1.0
178	150	0.75	8	23.0
179	150	0.75	9	6.0
180	150	1.0	0	1.0
181	150	1.0	1	1.0
182	150	1.0	10	1.0
183	150	1.0	11	1.0
184	150	1.0	12	1.0
185	150	1.0	13	1.0
186	150	1.0	14	1.0
187	150	1.0	15	1.0
188	150	1.0	16	1.0
189	150	1.0	17	1.0
190	150	1.0	18	1.0
191	150	1.0	19	1.0
192	150	1.0	2	1.0
193	150	1.0	3	1.0
194	150	1.0	4	2.0
195	150	1.0	5	1.0
196	150	1.0	6	1.0
197	150	1.0	7	2.0
198	150	1.0	8	1.0
199	150	1.0	9	72.0
200	150	1.5	0	1.0
201	150	1.5	1	1.0
202	150	1.5	10	1.0
203	150	1.5	11	1.0
204	150	1.5	12	1.0
205	150	1.5	13	1.0
206	150	1.5	14	1.0
207	150	1.5	15	1.0
208	150	1.5	16	1.0
209	150	1.5	17	1.0
210	150	1.5	18	1.0
211	150	1.5	19	1.0
212	150	1.5	2	1.0
213	150	1.5	3	1.0
214	150	1.5	4	1.0
215	150	1.5	5	1.0
216	150	1.5	6	1.0
217	150	1.5	7	1.0
218	150	1.5	8	1.0
219	150	1.5	9	1.0
220	150	2.5	0	1.0
221	150	2.5	1	1.0
222	150	2.5	10	1.0
223	150	2.5	11	1.0
224	150	2.5	12	1.0
225	150	2.5	13	1.0
226	150	2.5	14	1.0
227	150	2.5	15	1.0
228	150	2.5	16	1.0
229	150	2.5	17	1.0
230	150	2.5	18	1.0
231	150	2.5	19	1.0
232	150	2.5	2	1.0
233	150	2.5	3	1.0
234	150	2.5	4	1.0
235	150	2.5	5	1.0
236	150	2.5	6	1.0
237	150	2.5	7	1.0
238	150	2.5	8	1.0
239	150	2.5	9	1.0
240	150	2.0	0	1.0
241	150	2.0	1	1.0
242	150	2.0	10	1.0
243	150	2.0	11	1.0
244	150	2.0	12	1.0
245	150	2.0	13	1.0
246	150	2.0	14	1.0
247	150	2.0	15	1.0
248	150	2.0	16	1.0
249	150	2.0	17	1.0
250	150	2.0	18	1.0
251	150	2.0	19	1.0
252	150	2.0	2	1.0
253	150	2.0	3	1.0
254	150	2.0	4	1.0
255	150	2.0	5	1.0
256	150	2.0	6	1.0
257	150	2.0	7	1.0
258	150	2.0	8	1.0
259	150	2.0	9	1.0
260	150	3.0	0	1.0
261	150	3.0	1	1.0
262	150	3.0	10	1.0
263	150	3.0	11	1.0
264	150	3.0	12	1.0
265	150	3.0	13	1.0
266	150	3.0	14	1.0
267	150	3.0	15	1.0
268	150	3.0	16	1.0
269	150	3.0	17	1.0
270	150	3.0	18	1.0
271	150	3.0	19	1.0
272	150	3.0	2	1.0
273	150	3.0	3	1.0
274	150	3.0	4	1.0
275	150	3.0	5	1.0
276	150	3.0	6	1.0
277	150	3.0	7	1.0
278	150	3.0	8	1.0
279	150	3.0	9	1.0
280	200	0.5	0	16.0
281	200	0.5	1	46.0
282	200	0.5	10	
283	200	0.5	11	
284	200	0.5	12	142.0
285	200	0.5	13	
286	200	0.5	14	24.0
287	200	0.5	15	
288	200	0.5	16	42.0
289	200	0.5	17	1.0
290	200	0.5	18	
291	200	0.5	19	48.0
292	200	0.5	2	122.0
293	200	0.5	3	5.0
294	200	0.5	4	250.0
295	200	0.5	5	2.0
296	200	0.5	6	74.0
297	200	0.5	7	69.0
298	200	0.5	8	33.0
299	200	0.5	9	1.0
300	200	0.75	0	1.0
301	200	0.75	1	1.0
302	200	0.75	10	21.0
303	200	0.75	11	28.0
304	200	0.75	12	1.0
305	200	0.75	13	59.0
306	200	0.75	14	1.0
307	200	0.75	15	131.0
308	200	0.75	16	1.0
309	200	0.75	17	1.0
310	200	0.75	18	119.0
311	200	0.75	19	2.0
312	200	0.75	2	32.0
313	200	0.75	3	1.0
